serial_number,part_number,production_time,line,shift,operator_id,machine_id,connector_force_n,contact_resistance_mohm,eol_result,firmware_version,connector_lot,pcba_lot
SN-EPS100168,EPS-2200-A,2025-05-09 22:37:18,Line 1,Evening,OP-103,PRESS-4A,62.2,25.9,Pass,3.8.0,CON-777,PCB-A191
SN-EPS100169,EPS-2200-A,2025-05-10 01:28:09,Line 1,Day,OP-101,PRESS-4A,64.4,14.0,Pass,3.8.1,CON-774,PCB-A191
SN-EPS100170,EPS-2200-A,2025-05-10 04:34:00,Line 2,Day,OP-201,PRESS-4B,49.5,43.8,Pass,3.8.1,CON-771,PCB-A190
SN-EPS100171,EPS-2200-B,2025-05-10 07:04:50,Line 2,Day,OP-201,PRESS-4B,63.3,13.8,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100172,EPS-2200-A,2025-05-10 09:45:41,Line 1,Evening,OP-104,PRESS-4A,50.2,47.1,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100173,EPS-2200-B,2025-05-10 12:41:32,Line 2,Evening,OP-204,PRESS-4B,54.9,34.7,Pass,3.8.0,CON-768,PCB-A193
SN-EPS100174,EPS-2200-B,2025-05-10 15:41:23,Line 1,Day,OP-102,PRESS-4A,59.5,31.6,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100175,EPS-2200-A,2025-05-10 18:21:13,Line 1,Day,OP-102,PRESS-4A,53.2,48.0,Fail,3.8.1,CON-771,PCB-A192
SN-EPS100176,EPS-2200-A,2025-05-10 21:18:04,Line 2,Evening,OP-204,PRESS-4B,39.4,57.2,Marginal,3.8.0,CON-771,PCB-A193
SN-EPS100177,EPS-2200-A,2025-05-11 00:10:55,Line 2,Evening,OP-203,PRESS-4B,30.0,88.0,Marginal,3.8.1,CON-771,PCB-A193
SN-EPS100178,EPS-2200-A,2025-05-11 03:05:46,Line 2,Evening,OP-203,PRESS-4B,39.2,58.2,Marginal,3.8.1,CON-771,PCB-A191
SN-EPS100179,EPS-2200-A,2025-05-11 05:37:36,Line 2,Day,OP-201,PRESS-4B,58.5,39.0,Pass,3.8.1,CON-777,PCB-A191
SN-EPS100180,EPS-2200-A,2025-05-11 08:35:27,Line 2,Day,OP-202,PRESS-4B,53.8,38.3,Pass,3.8.0,CON-777,PCB-A191
SN-EPS100181,EPS-2200-B,2025-05-11 11:31:18,Line 2,Evening,OP-204,PRESS-4B,54.3,38.6,Pass,3.8.1,CON-765,PCB-A190
SN-EPS100182,EPS-2200-A,2025-05-11 14:06:09,Line 2,Day,OP-202,PRESS-4B,58.4,28.8,Pass,3.8.1,CON-771,PCB-A193
SN-EPS100183,EPS-2200-A,2025-05-11 17:16:00,Line 2,Evening,OP-204,PRESS-4B,50.7,56.5,Marginal,3.8.1,CON-771,PCB-A191
SN-EPS100184,EPS-2200-B,2025-05-11 20:06:50,Line 1,Day,OP-102,PRESS-4A,56.2,29.2,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100185,EPS-2200-B,2025-05-11 22:48:41,Line 2,Evening,OP-204,PRESS-4B,34.5,65.1,Marginal,3.8.1,CON-771,PCB-A190
SN-EPS100186,EPS-2200-A,2025-05-12 01:22:32,Line 2,Evening,OP-203,PRESS-4B,41.5,63.0,Marginal,3.8.1,CON-771,PCB-A193
SN-EPS100187,EPS-2200-A,2025-05-12 04:39:23,Line 2,Evening,OP-203,PRESS-4B,38.2,67.3,Marginal,3.8.1,CON-771,PCB-A190
SN-EPS100188,EPS-2200-A,2025-05-12 07:37:13,Line 2,Evening,OP-203,PRESS-4B,40.8,65.6,Marginal,3.8.1,CON-771,PCB-A192
SN-EPS100189,EPS-2200-A,2025-05-12 10:24:04,Line 2,Evening,OP-204,PRESS-4B,40.3,62.8,Marginal,3.8.0,CON-771,PCB-A191
SN-EPS100190,EPS-2200-A,2025-05-12 13:02:55,Line 2,Evening,OP-204,PRESS-4B,55.1,39.6,Pass,3.8.0,CON-774,PCB-A191
SN-EPS100191,EPS-2200-A,2025-05-12 15:39:46,Line 1,Evening,OP-104,PRESS-4A,56.5,40.9,Pass,3.8.0,CON-774,PCB-A191
SN-EPS100192,EPS-2200-B,2025-05-12 18:43:36,Line 2,Evening,OP-204,PRESS-4B,39.0,58.7,Marginal,3.8.0,CON-771,PCB-A192
SN-EPS100193,EPS-2200-B,2025-05-12 21:14:27,Line 2,Evening,OP-204,PRESS-4B,43.7,69.6,Marginal,3.8.1,CON-771,PCB-A191
SN-EPS100194,EPS-2200-B,2025-05-13 00:19:18,Line 1,Day,OP-101,PRESS-4A,53.2,30.1,Pass,3.8.0,CON-768,PCB-A193
SN-EPS100195,EPS-2200-A,2025-05-13 03:05:09,Line 2,Evening,OP-204,PRESS-4B,50.9,42.7,Pass,3.8.1,CON-774,PCB-A192
SN-EPS100196,EPS-2200-A,2025-05-13 06:10:00,Line 2,Day,OP-201,PRESS-4B,59.4,27.9,Pass,3.8.0,CON-771,PCB-A191
SN-EPS100197,EPS-2200-A,2025-05-13 08:55:50,Line 2,Evening,OP-204,PRESS-4B,32.4,73.9,Marginal,3.8.0,CON-771,PCB-A191
SN-EPS100198,EPS-2200-B,2025-05-13 11:40:41,Line 2,Evening,OP-204,PRESS-4B,45.0,63.8,Marginal,3.8.1,CON-771,PCB-A193
SN-EPS100199,EPS-2200-A,2025-05-13 14:19:32,Line 2,Evening,OP-203,PRESS-4B,42.3,57.6,Marginal,3.8.0,CON-771,PCB-A190
SN-EPS100200,EPS-2200-A,2025-05-13 17:02:23,Line 2,Day,OP-202,PRESS-4B,51.6,47.9,Pass,3.8.0,CON-768,PCB-A191
SN-EPS100201,EPS-2200-A,2025-05-13 20:28:13,Line 2,Day,OP-202,PRESS-4B,52.2,39.7,Pass,3.8.1,CON-765,PCB-A190
SN-EPS100202,EPS-2200-A,2025-05-13 23:06:04,Line 1,Day,OP-102,PRESS-4A,54.6,42.3,Pass,3.8.0,CON-765,PCB-A192
SN-EPS100203,EPS-2200-A,2025-05-14 01:53:55,Line 1,Day,OP-101,PRESS-4A,52.2,44.1,Pass,3.8.1,CON-771,PCB-A190
SN-EPS100204,EPS-2200-A,2025-05-14 04:58:46,Line 2,Evening,OP-204,PRESS-4B,34.3,70.1,Marginal,3.8.1,CON-771,PCB-A193
SN-EPS100205,EPS-2200-B,2025-05-14 07:14:36,Line 1,Day,OP-102,PRESS-4A,56.3,33.7,Pass,3.8.1,CON-768,PCB-A193
SN-EPS100206,EPS-2200-A,2025-05-14 10:32:27,Line 1,Day,OP-102,PRESS-4A,57.7,28.2,Pass,3.8.0,CON-771,PCB-A191
SN-EPS100207,EPS-2200-B,2025-05-14 13:24:18,Line 2,Evening,OP-204,PRESS-4B,58.5,31.0,Pass,3.8.0,CON-774,PCB-A190
SN-EPS100208,EPS-2200-A,2025-05-14 15:59:09,Line 2,Evening,OP-204,PRESS-4B,55.6,41.9,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100209,EPS-2200-A,2025-05-14 18:39:00,Line 2,Day,OP-201,PRESS-4B,54.6,42.1,Pass,3.8.0,CON-777,PCB-A190
SN-EPS100210,EPS-2200-A,2025-05-14 21:26:50,Line 2,Evening,OP-204,PRESS-4B,55.1,32.5,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100211,EPS-2200-A,2025-05-15 00:34:41,Line 2,Evening,OP-203,PRESS-4B,40.4,65.3,Marginal,3.8.1,CON-771,PCB-A190
SN-EPS100212,EPS-2200-A,2025-05-15 03:35:32,Line 2,Day,OP-201,PRESS-4B,54.2,33.7,Pass,3.8.1,CON-771,PCB-A191
SN-EPS100213,EPS-2200-A,2025-05-15 06:04:23,Line 1,Day,OP-102,PRESS-4A,55.0,40.0,Pass,3.8.0,CON-774,PCB-A190
SN-EPS100214,EPS-2200-A,2025-05-15 09:15:13,Line 2,Day,OP-202,PRESS-4B,56.0,28.5,Pass,3.8.1,CON-768,PCB-A192
SN-EPS100215,EPS-2200-A,2025-05-15 12:05:04,Line 2,Evening,OP-204,PRESS-4B,37.4,83.2,Marginal,3.8.1,CON-771,PCB-A191
SN-EPS100216,EPS-2200-A,2025-05-15 14:36:55,Line 2,Evening,OP-204,PRESS-4B,36.3,78.8,Marginal,3.8.1,CON-771,PCB-A191
SN-EPS100217,EPS-2200-B,2025-05-15 17:31:46,Line 2,Evening,OP-203,PRESS-4B,45.8,51.0,Marginal,3.8.0,CON-771,PCB-A191
SN-EPS100218,EPS-2200-A,2025-05-15 20:09:36,Line 2,Evening,OP-204,PRESS-4B,43.7,60.9,Marginal,3.8.1,CON-771,PCB-A193
SN-EPS100219,EPS-2200-A,2025-05-15 23:02:27,Line 2,Evening,OP-204,PRESS-4B,49.0,44.0,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100220,EPS-2200-A,2025-05-16 02:10:18,Line 1,Day,OP-102,PRESS-4A,58.1,28.5,Pass,3.8.1,CON-768,PCB-A190
SN-EPS100221,EPS-2200-A,2025-05-16 04:32:09,Line 2,Evening,OP-204,PRESS-4B,38.4,71.8,Marginal,3.8.1,CON-771,PCB-A191
SN-EPS100222,EPS-2200-A,2025-05-16 07:53:00,Line 1,Evening,OP-103,PRESS-4A,57.8,21.7,Pass,3.8.0,CON-765,PCB-A190
SN-EPS100223,EPS-2200-A,2025-05-16 10:26:50,Line 1,Evening,OP-104,PRESS-4A,56.0,34.3,Pass,3.8.1,CON-771,PCB-A193
SN-EPS100224,EPS-2200-A,2025-05-16 12:56:41,Line 1,Day,OP-102,PRESS-4A,57.5,29.6,Pass,3.8.1,CON-768,PCB-A192
SN-EPS100225,EPS-2200-A,2025-05-16 15:56:32,Line 2,Evening,OP-204,PRESS-4B,38.2,64.2,Marginal,3.8.1,CON-771,PCB-A191
SN-EPS100226,EPS-2200-B,2025-05-16 18:48:23,Line 2,Evening,OP-203,PRESS-4B,43.0,51.2,Marginal,3.8.1,CON-771,PCB-A190
SN-EPS100227,EPS-2200-A,2025-05-16 21:48:13,Line 2,Evening,OP-204,PRESS-4B,37.0,65.0,Marginal,3.8.0,CON-771,PCB-A193
SN-EPS100228,EPS-2200-B,2025-05-17 00:52:04,Line 1,Evening,OP-103,PRESS-4A,53.6,33.6,Pass,3.8.1,CON-771,PCB-A192
SN-EPS100229,EPS-2200-A,2025-05-17 03:11:55,Line 1,Evening,OP-104,PRESS-4A,51.4,45.6,Pass,3.8.1,CON-768,PCB-A191
SN-EPS100230,EPS-2200-A,2025-05-17 06:05:46,Line 1,Evening,OP-103,PRESS-4A,60.7,13.6,Pass,3.8.0,CON-771,PCB-A193
SN-EPS100231,EPS-2200-A,2025-05-17 08:56:36,Line 2,Evening,OP-204,PRESS-4B,57.2,38.0,Pass,3.8.1,CON-774,PCB-A193
SN-EPS100232,EPS-2200-A,2025-05-17 11:48:27,Line 2,Day,OP-202,PRESS-4B,53.4,37.6,Pass,3.8.0,CON-771,PCB-A193
SN-EPS100233,EPS-2200-A,2025-05-17 14:58:18,Line 2,Day,OP-201,PRESS-4B,51.1,64.8,Marginal,3.8.1,CON-774,PCB-A190
SN-EPS100234,EPS-2200-B,2025-05-17 17:36:09,Line 1,Evening,OP-104,PRESS-4A,56.0,36.4,Pass,3.8.0,CON-765,PCB-A192
SN-EPS100235,EPS-2200-A,2025-05-17 20:17:00,Line 1,Evening,OP-104,PRESS-4A,54.3,41.4,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100236,EPS-2200-B,2025-05-17 22:59:50,Line 1,Evening,OP-103,PRESS-4A,55.0,45.0,Pass,3.8.1,CON-765,PCB-A191
SN-EPS100237,EPS-2200-A,2025-05-18 02:08:41,Line 2,Day,OP-202,PRESS-4B,60.5,29.9,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100238,EPS-2200-B,2025-05-18 04:58:32,Line 2,Evening,OP-203,PRESS-4B,54.5,29.9,Pass,3.8.0,CON-774,PCB-A190
SN-EPS100239,EPS-2200-B,2025-05-18 07:45:23,Line 1,Evening,OP-104,PRESS-4A,53.7,42.4,Pass,3.8.1,CON-768,PCB-A193
SN-EPS100240,EPS-2200-A,2025-05-18 10:21:13,Line 2,Evening,OP-203,PRESS-4B,59.9,34.5,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100241,EPS-2200-B,2025-05-18 13:03:04,Line 2,Day,OP-201,PRESS-4B,53.5,34.6,Pass,3.8.0,CON-768,PCB-A192
SN-EPS100242,EPS-2200-B,2025-05-18 16:02:55,Line 1,Evening,OP-103,PRESS-4A,55.0,35.2,Pass,3.8.1,CON-771,PCB-A193
SN-EPS100243,EPS-2200-A,2025-05-18 18:50:46,Line 1,Evening,OP-104,PRESS-4A,53.6,31.7,Pass,3.8.0,CON-765,PCB-A190
SN-EPS100244,EPS-2200-A,2025-05-18 21:37:36,Line 1,Day,OP-101,PRESS-4A,51.7,34.8,Pass,3.8.0,CON-771,PCB-A193
SN-EPS100245,EPS-2200-A,2025-05-19 00:58:27,Line 1,Day,OP-102,PRESS-4A,52.2,36.5,Pass,3.8.0,CON-774,PCB-A191
SN-EPS100246,EPS-2200-B,2025-05-19 03:18:18,Line 1,Day,OP-102,PRESS-4A,55.7,29.8,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100247,EPS-2200-A,2025-05-19 06:17:09,Line 2,Day,OP-202,PRESS-4B,54.7,38.0,Pass,3.8.1,CON-771,PCB-A191
SN-EPS100248,EPS-2200-A,2025-05-19 09:07:00,Line 2,Evening,OP-203,PRESS-4B,63.1,19.0,Pass,3.8.1,CON-765,PCB-A190
SN-EPS100249,EPS-2200-A,2025-05-19 12:17:50,Line 2,Evening,OP-203,PRESS-4B,54.5,35.9,Pass,3.8.1,CON-777,PCB-A190
SN-EPS100250,EPS-2200-B,2025-05-19 14:34:41,Line 2,Evening,OP-203,PRESS-4B,52.2,35.1,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100251,EPS-2200-B,2025-05-19 17:26:32,Line 2,Day,OP-202,PRESS-4B,51.2,48.1,Pass,3.8.1,CON-777,PCB-A191
SN-EPS100252,EPS-2200-A,2025-05-19 20:15:23,Line 2,Evening,OP-203,PRESS-4B,50.4,46.6,Pass,3.8.0,CON-768,PCB-A193
SN-EPS100253,EPS-2200-B,2025-05-19 23:12:13,Line 1,Day,OP-102,PRESS-4A,55.9,36.5,Pass,3.8.0,CON-768,PCB-A192
SN-EPS100254,EPS-2200-B,2025-05-20 02:08:04,Line 1,Day,OP-102,PRESS-4A,53.9,29.9,Pass,3.8.0,CON-771,PCB-A190
SN-EPS100255,EPS-2200-B,2025-05-20 05:09:55,Line 2,Day,OP-202,PRESS-4B,56.1,20.8,Pass,3.8.0,CON-774,PCB-A191
SN-EPS100256,EPS-2200-B,2025-05-20 07:37:46,Line 1,Day,OP-102,PRESS-4A,49.8,55.6,Marginal,3.8.0,CON-765,PCB-A190
SN-EPS100257,EPS-2200-A,2025-05-20 10:22:36,Line 2,Day,OP-202,PRESS-4B,57.1,24.6,Pass,3.8.1,CON-771,PCB-A192
SN-EPS100258,EPS-2200-B,2025-05-20 13:13:27,Line 1,Day,OP-102,PRESS-4A,59.0,20.2,Pass,3.8.1,CON-777,PCB-A190
SN-EPS100259,EPS-2200-A,2025-05-20 16:05:18,Line 2,Day,OP-201,PRESS-4B,50.4,46.0,Pass,3.8.1,CON-771,PCB-A192
SN-EPS100260,EPS-2200-B,2025-05-20 19:02:09,Line 1,Day,OP-101,PRESS-4A,55.2,35.0,Pass,3.8.0,CON-765,PCB-A192
